Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gupta, S., Vasardani, M., Lohani, B., Winter, S.","57209266372; 12753012900; 19934039200; 57203180052","Pedestrian's risk-based negotiation model for self-driving vehicles to get the right of way",2019,"Accident Analysis and Prevention",124,"",,163,173,,2,10.1016/j.aap.2019.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060022046&partnerID=40&md5=e7ee34ddd4068aa1266b5b888f9a9438",Article,Final,,Scopus,2-s2.0-85060022046
"Kalyanathaya, K.P., Akila, D., Rajesh, P.","57209050237; 56472833800; 57211693715","Advances in natural language processing –a survey of current research trends, development tools and industry applications",2019,"International Journal of Recent Technology and Engineering",7,"5",,199,201,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066412449&partnerID=40&md5=31a6b33c6a52425da0002b05e2efa34b",Article,Final,,Scopus,2-s2.0-85066412449
"Das, G.P., Vance, P.J., Kerr, D., Coleman, S.A., McGinnity, T.M., Liu, J.K.","11538924100; 36651732700; 24376886200; 7201402808; 7003792410; 57202579249","Computational modelling of salamander retinal ganglion cells using machine learning approaches",2019,"Neurocomputing",325,"",,101,112,,2,10.1016/j.neucom.2018.10.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055136867&partnerID=40&md5=3ca16cb539e3d29ebd3e18088cd4a9b5",Article,Final,,Scopus,2-s2.0-85055136867
"Saravana Kumar, E., Vengatesan, K.","55761372000; 57222055738","Trust based resource selection with optimization technique",2019,"Cluster Computing",22,"",,207,213,,2,10.1007/s10586-018-2362-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042911201&partnerID=40&md5=fc4c8915dc83856dfa84edd4dd0ffadc",Article,Final,,Scopus,2-s2.0-85042911201
"Mohana, Ravish Aradhya, H.V.","57113679700; 55616592800","Object detection and tracking using deep learning and artificial intelligence for video surveillance applications",2019,"International Journal of Advanced Computer Science and Applications",10,"12",,517,530,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078421665&partnerID=40&md5=bdd73f7cb6b6bb47d2753d95cb8744c3",Article,Final,,Scopus,2-s2.0-85078421665
"Sujata, J., Nikita, M., Shubham, S.","56554112100; 57214145333; 57214155008","Applications of chatbots in marketing: Use cases, impacts, challenges and drivers",2019,"International Journal of Advanced Trends in Computer Science and Engineering",8,"1.6 Special Issue", 30,195,200,,2,10.30534/ijatcse/2019/3081.62019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078351938&partnerID=40&md5=ab29c4575d730bca18efa163e227ede6",Article,Final,,Scopus,2-s2.0-85078351938
"Priya, N., Radhika, C.","57213735583; 57213187061","A survey on predicting autism spectrum disorder using machine learning techniques",2019,"International Journal on Emerging Technologies",10,"3",,422,427,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077714324&partnerID=40&md5=4441e8696237d2dcdcddc8154e4db0e1",Article,Final,,Scopus,2-s2.0-85077714324
"Cherivirala, Y.K., Lyu, H., Alhowri, H.A., Babakhani, A.","57213193460; 56903911700; 57213195671; 15724514600","Wirelessly powered microchips for mapping hydraulic fractures",2019,"SPE Journal",24,"4",,1830,1838,,2,10.2118/194491-PA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077707157&partnerID=40&md5=e6618eaf64078a4009d9d00c69301cec",Article,Final,,Scopus,2-s2.0-85077707157
"Apare, R.S., Gujar, S.N.","57208235486; 36052978100","Implementing adaptive dragonfly optimization for privacy preservation in IoT",2019,"Journal of High Speed Networks",25,"4",,331,348,,2,10.3233/JHS-190619,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075880263&partnerID=40&md5=40d86f6462d3d7c7a815c24e040f151e",Article,Final,,Scopus,2-s2.0-85075880263
"Hari Kumar, N., Baskaran, S.","57190188859; 57214510524","Machine learning: The Panacea for 5G complexities",2019,"Journal of ICT Standardization",7,"2",,157,170,,2,10.13052/jicts2245-800X.726,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075693059&partnerID=40&md5=fad22188945a3391538e991d0e131596",Article,Final,Open Access,Scopus,2-s2.0-85075693059
"Karthikeyan, S., Sanjay Kumar, P., Madhusudan, R.J., Sundaramoorthy, S.K., Krishnan Namboori, P.K.","57200927050; 57196100712; 55932578700; 55224254800; 57208055835","Detection of multi-class retinal diseases using artificial intelligence: An expeditious learning using deep CNn with minimal data",2019,"Biomedical and Pharmacology Journal",12,"3",,1577,1586,,2,10.13005/bpj/1788,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85074100167&partnerID=40&md5=c68e1414f69393abacb60ada9e8acb6f",Article,Final,Open Access,Scopus,2-s2.0-85074100167
"Millen, N., Kovačević, A., Khera, L., Djuriš, J., Ibrić, S.","57209880404; 27967812900; 57211278975; 57200628831; 6602589636","Machine learning modelling of wet granulation scale-up using compressibility, compactibility and manufacturability parameters | Modelovanje transfera tehnologije vlažne granulacije tehnikama mašinskog učenja korišćenjem parametara kompresibilnosti, kompaktibilnosti i proizvodljivosti",2019,"Hemijska Industrija",73,"3",,155,168,,2,10.2298/HEMIND190412017M,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073287063&partnerID=40&md5=518f19d24a2421b7a4f0a25a30b9ac66",Article,Final,Open Access,Scopus,2-s2.0-85073287063
"Chakraborty, S., Das, P.P.","10241300900; 56435168100","Fuzzy modeling and parametric analysis of non-traditional machining processes",2019,"Management and Production Engineering Review",10,"3",,111,123,,2,10.24425/mper.2019.130504,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85073190910&partnerID=40&md5=bbcb385147ebb3d39a6213766e99588b",Article,Final,,Scopus,2-s2.0-85073190910
"Mandeep, Sinha, R., Shukla, P.","35191965000; 57202495158; 7202961636","Protein engineering for improved health: Technological perspectives",2019,"Current Protein and Peptide Science",20,"9",,856,860,,2,10.2174/138920372009190917095307,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072746156&partnerID=40&md5=e26444acb419c61f1cde266884d28035",Article,Final,Open Access,Scopus,2-s2.0-85072746156
"Nagarani, B., Jothiswaroopan, N.M.","57211081792; 57211079086","Performance enhancement of photovoltaic system using genetic algorithm- based maximum power point tracking",2019,"Turkish Journal of Electrical Engineering and Computer Sciences",27,"4",,3015,3025,,2,10.3906/elk-1801-189,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072614957&partnerID=40&md5=d9d9900544740998dd2e3a1a0a8ec310",Article,Final,Open Access,Scopus,2-s2.0-85072614957
"Agarwal, P., Mehta, S.","36082538900; 36721959800","ABC_DE_FP: A novel hybrid algorithm for complex continuous optimisation problems",2019,"International Journal of Bio-Inspired Computation",14,"1",,46,61,,2,10.1504/IJBIC.2019.101176,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069934965&partnerID=40&md5=f59a03d1f0c790720ec5175a1003397f",Article,Final,,Scopus,2-s2.0-85069934965
"Mohapatra, S.","26427741300","Critical review of literature and development of a framework for application of artificial intelligence in business",2019,"International Journal of Enterprise Network Management",10,"2",,176,185,,2,10.1504/IJENM.2019.100546,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068377078&partnerID=40&md5=f70e5028ace38648edeac07c0522cec7",Article,Final,,Scopus,2-s2.0-85068377078
"Hill, C.A., Biemer, P., Buskirk, T., Callegaro, M., Cazar, A.L.C., Eck, A., Japec, L., Kirchner, A., Kolenikov, S., Lyberg, L., Sturgis, P.","16301443300; 6603390647; 16505908400; 24341011600; 57209181922; 24721158300; 56348765700; 37124071700; 6507422527; 36976187700; 6603071846","Exploring new statistical frontiers at the intersection of survey science and big data: Convergence at “BigSurv18”",2019,"Survey Research Methods",13,"1",,123,134,,2,10.18148/srm/2019.v13i1.7467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066755626&partnerID=40&md5=31a862bdb63201ea2c1c2c6cf5e567ff",Article,Final,,Scopus,2-s2.0-85066755626
"Pankhuri, Sinha, A., Shrivastava, G., Kumar, P.","36500817500; 57206695813; 46161749000; 57194223891","A pattern-based multi-factor authentication system",2019,"Scalable Computing",20,"1",,101,112,,2,10.12694/scpe.v20i1.1460,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063034806&partnerID=40&md5=db7bf3761f6583ee9c954541e5b31cf2",Article,Final,Open Access,Scopus,2-s2.0-85063034806
"Sameer, M.D., Birru, A.K.","57204881506; 55014262500","Optimization and characterization of dissimilar friction stir welded DP600 dual phase steel and AA6082-T6 aluminium alloy sheets using TOPSIS and grey relational analysis",2019,"Materials Research Express",6,"5", 056542,,,,2,10.1088/2053-1591/aafba4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062812416&partnerID=40&md5=54adf480c7e3b7f89dc0599e5fe4c937",Article,Final,,Scopus,2-s2.0-85062812416
"Das, S.R., Ray, P.K., Mohanty, A., Das, H.","57213459671; 57194010331; 55521129800; 56151748100","Performance evaluation of multilevel inverter based hybrid active filter using soft computing techniques",2019,"Evolutionary Intelligence",,"",,,,,2,10.1007/s12065-019-00217-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062787263&partnerID=40&md5=13ccdbd2fded5e4fc00f8f0d7e7319c6",Article,Article in Press,,Scopus,2-s2.0-85062787263
"Krishna Madhuri, D.","57206194539","A machine learning based framework for sentiment classification: Indian railways case study",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"4",,441,445,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061617859&partnerID=40&md5=b18b3e8704c06c9958af5bb6bb13b85f",Article,Final,,Scopus,2-s2.0-85061617859
"Mani, D., Amrith, P., Umamaheswari, E., Ajay, D.M., Anitha, R.U.","57205673193; 57205670678; 49964767000; 57112291400; 55903131700","Smart detection of vehicle accidents using object identification sensors with artificial intelligent systems",2019,"International Journal of Recent Technology and Engineering",7,"5",,375,379,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061043983&partnerID=40&md5=0e3d01f5d8619c8b81ac47840db8603b",Article,Final,,Scopus,2-s2.0-85061043983
"Joy, J., Ushakumari, S.","57200168504; 8391900100","Regenerative Braking Mode Operation of a Three-Phase H-Bridge Inverter Fed PMBLDC Motor Generator Drive in an Electric Bike",2018,"Electric Power Components and Systems",46,"19-20",,2174,2188,,2,10.1080/15325008.2018.1535529,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059000578&partnerID=40&md5=f26cd562c83babf6ecebac159b7c5788",Article,Final,,Scopus,2-s2.0-85059000578
"Beura, S.K., Bhuyan, P.K.","57191846612; 54885502700","Quality of Bicycle Traffic Management at Urban Road Links and Signalized Intersections Operating under Mixed Traffic Conditions",2018,"Transportation Research Record",2672,"36",,145,156,,2,10.1177/0361198118796350,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060914034&partnerID=40&md5=cf1c8b3591d03d27dc01b8775482dcd8",Article,Final,,Scopus,2-s2.0-85060914034
"Guru Prakash, B., Sukumar, R., Balasubramanian, C.","57203978746; 35146712200; 35118563100","A Swarm Intelligence Based Clustering Technique with Scheduling for the Amelioration of Lifetime in Sensor Networks",2018,"Wireless Personal Communications",103,"4",,3189,3207,,2,10.1007/s11277-018-6002-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053859303&partnerID=40&md5=bb67a63bcd28f0a793aeb152b9fe2f4b",Article,Final,,Scopus,2-s2.0-85053859303
"Selvapandian, A., Manivannan, K.","7006467634; 57213610773","Performance analysis of meningioma brain tumor classifications based on gradient boosting classifier",2018,"International Journal of Imaging Systems and Technology",28,"4",,295,301,,2,10.1002/ima.22288,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053040721&partnerID=40&md5=79a6e78b7fbc9f6d253fd5a35c72257c",Article,Final,,Scopus,2-s2.0-85053040721
