Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Keller, R.M.","7401435236","Applying Knowledge Compilation Techniques to Model-Based Reasoning",1991,"IEEE Expert-Intelligent Systems and their Applications",6,"2",,82,87,,10,10.1109/64.79715,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0026136053&partnerID=40&md5=f8f82591524d993e90cac4e46533c326",Article,Final,,Scopus,2-s2.0-0026136053
"Haddock, J., O'Keefe, R.M.","7006249511; 7103070629","Using artificial inteligence to facilitate manufacturing systems simulation",1990,"Computers and Industrial Engineering",18,"3",,275,283,,10,10.1016/0360-8352(90)90049-R,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025596833&partnerID=40&md5=86514bdf2d9fa946a520ff5b30a12729",Article,Final,,Scopus,2-s2.0-0025596833
"Schutzer, D.","6602110937","Business expert systems: The competitive edge",1990,"Expert Systems With Applications",1,"1",,17,21,,10,10.1016/0957-4174(90)90065-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025537207&partnerID=40&md5=91c9c97b2bde3e3c34d08f459666d27e",Article,Final,,Scopus,2-s2.0-0025537207
"Holtz, K., Holtz, E.","7004269649; 7003434613","True Information Television (TITV) breaks shannon bandwidth barrier",1990,"IEEE Transactions on Consumer Electronics",36,"2",,142,148,,10,10.1109/30.54281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025429854&partnerID=40&md5=dcbfa080c6bce439ed16966161de9062",Article,Final,,Scopus,2-s2.0-0025429854
"Blackburn, M.R.","7103413222","Using Expert Systems to Construct Formal Specifications",1989,"IEEE Expert-Intelligent Systems and their Applications",4,"1",,62,74,,10,10.1109/64.21901,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0024629043&partnerID=40&md5=7384c537be90d88be56b2032694744f8",Article,Final,,Scopus,2-s2.0-0024629043
"Eung, Y.Y., Lee, D.L.","56917421200; 35242995000","Logic Approaches for Deductive Databases",1988,"IEEE Expert-Intelligent Systems and their Applications",3,"4",,64,75,,10,10.1109/64.10021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0024128097&partnerID=40&md5=0531301d5c6dc08eada8b03155a91c2f",Article,Final,,Scopus,2-s2.0-0024128097
"Shema, D.B., Boose, J.H.","7801388053; 7003399375","Refining problem-solving knowledge in repertory grids using a consultation mechanism",1988,"International Journal of Man-Machine Studies",29,"4",,447,460,,10,10.1016/S0020-7373(88)80005-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0024088306&partnerID=40&md5=dd0a18d986115cfad4e305994f955918",Article,Final,,Scopus,2-s2.0-0024088306
"Malkoff, D.B.","6603253219","A framework for real-time fault detection and diagnosis using temporal data",1987,"Artificial Intelligence in Engineering",2,"2",,97,111,,10,10.1016/0954-1810(87)90144-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023330505&partnerID=40&md5=e09a627a3264bd9ded51c2353cb6a56f",Article,Final,,Scopus,2-s2.0-0023330505
"Denton, R.V., Froeberg, P.L.","7102561676; 7801587932","Applications of artificial intelligence in automated route planning",1984,"Proceedings of SPIE - The International Society for Optical Engineering",485,"",,126,132,,10,10.1117/12.943176,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0021603357&partnerID=40&md5=25d91d4fa0660f0ac5fb2699d2dbe0c8",Article,Final,,Scopus,2-s2.0-0021603357
"Biermann, A.W., Fairfield, J.R.C., Beres, T.R.","7004683545; 6701665904; 6506017507","Signature Table Systems and Learning",1982,"IEEE Transactions on Systems, Man and Cybernetics",12,"5",,635,648,,10,10.1109/TSMC.1982.4308882,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0020330323&partnerID=40&md5=339af5b4eca8e94410ed185023a80725",Article,Final,,Scopus,2-s2.0-0020330323
