Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Wang, H.-B., Liu, D.-X., Wang, N.-B., Wang, T.","55934248300; 56130810600; 15125132600; 7405561755","Research on sieving algorithm of domain-specific concept from ontology learning",2010,"Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics",32,"1",,175,178,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77649218533&partnerID=40&md5=d46622bae9d075dd2e7fc3b464852cb7",Article,Final,,Scopus,2-s2.0-77649218533
"Jiang, Z., Xia, J., Jiang, Y.","16021876900; 7402327399; 36065463100","An information sharing building automation system",2009,"Intelligent Buildings International",1,"3",,195,208,,4,10.3763/inbi.2009.0002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79954472720&partnerID=40&md5=36602609a30575f170084cac9f1d9e89",Article,Final,,Scopus,2-s2.0-79954472720
"Liu, J.-M., Dong, Z.-R., Ma, G.-K.","36491652100; 56506074500; 57199673535","Solving containerloading based on tabu search algorithm",2009,"Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology",31,"2",,212,216,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67649425703&partnerID=40&md5=0959e3c84f7d5d0e0c89ad67cff037dc",Article,Final,,Scopus,2-s2.0-67649425703
"Wu, C., Huang, G., Yan, X., Cai, Y., Li, Y., Lv, N.","8508248600; 55489745300; 57200980418; 25225094200; 26531210500; 25822530700","An inexact optimization model for evacuation planning",2009,"Kybernetes",38,"10",,1676,1683,,4,10.1108/03684920910994033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-71849089876&partnerID=40&md5=fe9d5883403620f7a3b0c105cde4918d",Article,Final,,Scopus,2-s2.0-71849089876
"Hu, L.-F., Ma, K.","55470237800; 7202837207","Genetic algorithm-based counter-flooding decision support system for damaged surface warship",2008,"International Shipbuilding Progress",55,"4",,301,315,,4,10.3233/ISP-2008-0051,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67650917072&partnerID=40&md5=5a26bb96c1b7f48bcf2cac597273a325",Article,Final,,Scopus,2-s2.0-67650917072
"Zhao, J., Chen, J.-J., Wang, L.-G.","57191639989; 36062668300; 57018392600","New intelligent neural network adaptive control scheme research for aeroengine",2008,"Hangkong Dongli Xuebao/Journal of Aerospace Power",23,"10",,1913,1920,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55649088193&partnerID=40&md5=24463981738fb5d0a3f27126bb977810",Article,Final,,Scopus,2-s2.0-55649088193
"Cheng, S.-W., Sun, S.-Q.","25630245300; 7404509594","Human-computer interaction resource model based on distributed cognition",2008,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",14,"9",,1683,1689+1703,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-55149097470&partnerID=40&md5=3f5b08e5c898697292856d9f13dc85f6",Article,Final,,Scopus,2-s2.0-55149097470
"Bai, R., Chai, T.-Y.","35791648700; 7101628097","Nonlinear intelligent PID control for the flowrate of red alkali slurry",2008,"Kongzhi Lilun Yu Yingyong/Control Theory and Applications",25,"4",,783,786,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-52349096672&partnerID=40&md5=40c204789730de82c23025328f3cfa26",Article,Final,,Scopus,2-s2.0-52349096672
"Li, R., Liu, H., Li, P.","55491325100; 35248741700; 57199004950","Detecting trajectory of planar controllable linkage mechanism based on computer vision",2008,"Nongye Jixie Xuebao/Transactions of the Chinese Society of Agricultural Machinery",39,"8",,161,163+168,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51149121681&partnerID=40&md5=b4d866f48382f15ace322e56241a0c15",Article,Final,,Scopus,2-s2.0-51149121681
"Ma, Z.-F., Zheng, X.-F., Zeng, G.-P., Tu, X.-Y.","25634449000; 7404090941; 13404097100; 8875419100","Multi-SoftMan coordination control in intrusion detection system",2008,"Kongzhi yu Juece/Control and Decision",23,"8",,944,948,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51149113305&partnerID=40&md5=8c307d1297995c1a1e3e71f716b21e38",Article,Final,,Scopus,2-s2.0-51149113305
